Date,Series,Scientific,Common,Specimen,Stain,Location,Plate,Reference,Investigation,Microscope,Objective,ObjectiveMagnification,Camera,LowerCameraMagnification,UpperCameraMagnification,NotebookReference,Notes
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Pinus sp.,Pine,"Pine leaf, T.S.",,,PS-LAK-023-001.png,PS-LAK-023-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Pinus sp.,Pine,"Pine leaf, T.S.",,,PS-LAK-023-002.png,PS-LAK-023-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Pinus sp.,Pine,"Pine leaf, T.S.",,,PS-LAK-023-003.png,PS-LAK-023-003,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Pinus sp.,Pine,"Pine leaf, T.S.",,,PS-LAK-023-004.png,PS-LAK-023-004,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Nerium indicum,Oleander,"Leaf of Nerium indicum, T.S.",,,PS-LAK-024-001.png,PS-LAK-024-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Nerium indicum,Oleander,"Leaf of Nerium indicum, T.S.",,,PS-LAK-024-002.png,PS-LAK-024-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Nerium indicum,Oleander,"Leaf of Nerium indicum, T.S.",,,PS-LAK-024-003.png,PS-LAK-024-003,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Nerium indicum,Oleander,"Leaf of Nerium indicum, T.S.",,,PS-LAK-024-004.png,PS-LAK-024-004,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Nerium indicum,Oleander,"Leaf of Nerium indicum, T.S.",,,PS-LAK-024-005.png,PS-LAK-024-005,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Nerium indicum,Oleander,"Leaf of Nerium indicum, T.S.",,,PS-LAK-024-006.png,PS-LAK-024-006,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Nostoc commune,Star jelly,"Nostoc commune, W.M.",,,PS-LAK-025-001.png,PS-LAK-025-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Capsella bursa-pastoris,Shepherd’s purse,"Shepherd’s purse flower, T.S.",,,PS-LAK-026-001.png,PS-LAK-026-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Capsella bursa-pastoris,Shepherd’s purse,"Shepherd’s purse flower, T.S.",,,PS-LAK-026-002.png,PS-LAK-026-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Helianthus annuus,Sunflower,"Sunflower leaf, T.S.",,,PS-LAK-027-001.png,PS-LAK-027-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Helianthus annuus,Sunflower,"Sunflower leaf, T.S.",,,PS-LAK-027-002.png,PS-LAK-027-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Helianthus annuus,Sunflower,"Sunflower leaf, T.S.",,,PS-LAK-027-003.png,PS-LAK-027-003,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Helianthus annuus,Sunflower,"Sunflower leaf, T.S.",,,PS-LAK-027-004.png,PS-LAK-027-004,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Cycas revoluta,Sago palm,"Sago cycas leaf, T.S.",,,PS-LAK-028-001.png,PS-LAK-028-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Cycas revoluta,Sago palm,"Sago cycas leaf, T.S.",,,PS-LAK-028-002.png,PS-LAK-028-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Cycas revoluta,Sago palm,"Sago cycas leaf, T.S.",,,PS-LAK-028-003.png,PS-LAK-028-003,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Cycas revoluta,Sago palm,"Sago cycas leaf, T.S.",,,PS-LAK-028-004.png,PS-LAK-028-004,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Cycas revoluta,Sago palm,"Sago cycas leaf, T.S.",,,PS-LAK-028-005.png,PS-LAK-028-005,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Pittosporum tobira,Japanese pittosporum,"Pittosporum tobira leaf, T.S.",,,PS-LAK-029-001.png,PS-LAK-029-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Lilium sp.,Lily,"Lilium leaf, T.S.",,,PS-LAK-030-001.png,PS-LAK-030-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Polypodiopsida sp.,Fern,"Fern leaf, T.S.",,,PS-LAK-031-001.png,PS-LAK-031-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Allium cepa,Bulb onion,"Root tip of Allium cepa, L.S.",,,PS-LAK-032-001.png,PS-LAK-032-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Allium cepa,Bulb onion,"Root tip of Allium cepa, L.S.",,,PS-LAK-032-002.png,PS-LAK-032-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Allium cepa,Bulb onion,"Onion epidermis, W.M.",,,PS-LAK-033-001.png,PS-LAK-033-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Lilium sp.,Lily,"Mature anther of Lilium, T.S.",,,PS-LAK-034-001.png,PS-LAK-034-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Lilium sp.,Lily,"Mature anther of Lilium, T.S.",,,PS-LAK-034-002.png,PS-LAK-034-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Lilium sp.,Lily,"Mature anther of Lilium, T.S.",,,PS-LAK-034-003.png,PS-LAK-034-003,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Lilium sp.,Lily,"Mature anther of Lilium, T.S.",,,PS-LAK-034-004.png,PS-LAK-034-004,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,,Mushroom,Mushroom section,,,PS-LAK-040-001.png,PS-LAK-040-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Zea sp.,Maize,"Zea seed, L.S.",,,PS-LAK-041-001.png,PS-LAK-041-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Zea sp.,Maize,"Zea seed, L.S.",,,PS-LAK-041-002.png,PS-LAK-041-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-17,PS I - LAKWAR Prepared Slides for Microbiology,Zea sp.,Maize,"Zea seed, L.S.",,,PS-LAK-041-003.png,PS-LAK-041-003,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
